Title name,Print-ISSN,E-ISSN,Date of acceptance,Publisher
Problems of Strength and Plasticity,18149146,,Sep-2021,Publishing House of Nizhniy Novgorod Lobachevsky State University
Izvestiya Vuzov. Poroshkovaya Metallurgiya i Funktsional?nye Pokrytiya,1997308X,24128767,Sep-2021,CJSC «KALVIS»
Photonics Russia,19937296,2686844X,Sep-2021,ASSOCIATE PRINTING-AND-PUBLICATION CENTRE ?TECHNOSPHERA?
Drugs and Clinic,16745515,,Sep-2021,"Tianjin Press, Editorial Office of Drugs & Clinic"
Avicenna Journal of Environmental Health Engineering,24236292,24234583,Sep-2021,Hamadan University of Medical Sciences
Data-Centric Engineering,,26326736,Sep-2021,Cambridge University Press
European Conference on Multifunctional Structures,,26966913,Sep-2021,Scipedia
Environmental Chemistry,02546108,,Sep-2021,Science Press (China)
Proceedings from the International Congress on Project Management and Engineering,,26955067,Sep-2021,AEIPRO Asociación Española de Dirección e Ingeniería de Proyectos
Maxillofacial Plastic and Reconstructive Surgery,,22888586,Sep-2021,Springer
Eye and Vision,,23260254,Sep-2021,Springer:  BioMed Central (BMC)
Yillik: Annual of Istanbul Studies,26875012,26875691,Sep-2021,Istanbul Research Institute
Umanistica Digitale,,25328816,Sep-2021,Dipartimento di Filologia Classica e Italianistica ? Alma Mater Studiorum ? Università di Bologna
Revista Historia Social y de las Mentalidades,07175248,07194749,Sep-2021,Universidad de Santiago de Chile
International Journal of Chemical and Biochemical Sciences,,22269614,Sep-2021,International Scientific Organization
Revista Alicantina de Estudios Ingleses,02144808,2171861X,Sep-2021,Universidad de Alicante
Americania,,21740178,Sep-2021,Universidad Pablo de Olavide
Nanomedicine Journal,23223049,23225904,Sep-2021,Mashhad University of Medical Sciences
Philosophy of Religion: Analytic Researches,2587683X,26584891,Sep-2021,"Institute of Philosophy, Russian Academy of Sciences"
Physical Review Research,,26431564,Sep-2021,American Physical Society
Journal of Air Pollution and Health,,24763071,Sep-2021,TUMS Tehran University of Medical Sciences
Lithologic Reservoirs,16738926,,Sep-2021,Science Press (China)
Rare Diseases of the Immune System,22826505,22836403,Sep-2021,Springer
Cleaner Engineering and Technology,,26667908,Sep-2021,Elsevier
Water Cycle,,26664453,Sep-2021,KeAI Publishing Group
Scientific Culture,,24079529,Sep-2021,HENAN UNIVERSITY
Proceedings of the Centre for Economic History Research,25349244,26033526,Sep-2021,Centre for Economic History Research
Celestinesca,,26957183,Sep-2021,Universitat de Valencia
Journal of Integrated Disaster Risk Management,,21858322,Sep-2021,International Society for Integrated Disaster Risk Management
Results in Control and Optimization,,26667207,Sep-2021,Elsevier
"Argument, Biannual Philosophical Journal",20836635,20841043,Sep-2021,Pedagogical University of Cracow
Acta Universitatis Carolinae Iuridica,03230619,23366478,Sep-2021,Karolinum Press
Journal of the Indonesian Mathematical Society,20868952,24600245,Sep-2021,The Indonesian Mathematical Society
Revista Juridica Portucalense,21835799,21835705,Sep-2021,Universidade Portucalense
Ocean Yearbook Online,01918575,22116001,Sep-2021,Brill:  Martinus Nijhoff
Chinese Journal of Environmental Law,24686034,24686042,Sep-2021,Brill:  Martinus Nijhoff
Critical Criminological Perspectives,27310604,27310612,Sep-2021,Springer:  Palgrave Macmillan
Archivio Giuridico Filippo Serafini,03915646,22822828,Sep-2021,STEM Mucchi Editore
"Direito, Estado e Sociedade",15166104,19820879,Sep-2021,Editora PUC-Rio
Cooperativismo e Economia Social,11302682,26606348,Sep-2021,University of Vigo
Dikaion,01208942,20275366,Sep-2021,Universidad de La Sabana
"Law, Environment and Development Journal",,17465893,Sep-2021,SOAS Law Environment and Development Centre
Law of Justice Journal,14137038,22383212,Sep-2021,Editora UPF
International Journal on Consumer Law and Practice,23472731,,Sep-2021,"CHAIR ON CONSUMER LAW AND PRACTICE, NATIONAL LAW SCHOOL OF INDIA UNIVERSITY, BENGALURU"
LUMS Law Journal,24148407,24148415,Sep-2021,Shaikh Ahmad Hassan School of Law
Journal of Forensic Medicine Science and Law,,22778853,Sep-2021,"Medicolegal Association of Maharashtra, India."
Constitutional Review,24600016,25483870,Sep-2021,Constitutional Court of the Republic of Indonesia
Novum Jus,16926013,25008692,Sep-2021,Universidad Catolica de Colombia
Prace Slawistyczne. Slavica,02084058,,Sep-2021,"Institute of Slavic Studies, Polish Academy of Sciences"
Zeitschrift fuer Europarechtliche Studien,1435439X,,Sep-2021,Nomos
Rechtskultur,25684469,,Sep-2021,Edition Rechtskultur
Krakowskie Studia z Historii Panstwa i Prawa,20844115,20844131,Sep-2021,Jagiellonian University Press
Journal of Interventional Medicine,20963602,25900293,Sep-2021,KeAI Publishing Group
Revista de Direito da Faculdade Guanambi,,24476536,Sep-2021,Centro Universitário FG (UNIFG)
Global Advances in Health and Medicine,2164957X,21649561,Sep-2021,Sage
Journal of the Global Power and Propulsion Society,,25153080,Sep-2021,Global Power and Propulsion Society
Ciencias Psicologicas,16884094,16884221,Sep-2021,Universidad Católica del Uruguay
Frontiers in Dentistry,,2676296X,Sep-2021,TUMS Tehran University of Medical Sciences
East/West,,22927956,Sep-2021,"Canadian Institute of Ukrainian Studies, University of Alberta"
Studies in the Philosophy of Sociality,25429094,25429108,Sep-2021,Springer
Crossroads,,23006250,Sep-2021,"Faculty of Philology, University of Bialystok"
Agua y Territorio,23408472,23407743,Sep-2021,Universidad de Jaén
New Caribbean Studies,26913011,26345196,Sep-2021,Springer:  Palgrave Macmillan
International Journal of Critical Indigenous Studies,,18370144,Sep-2021,Queensland University of Technology
Geoscience Communication,25697102,25697110,Aug-2021,Copernicus
Mathematics Teacher Education and Development,14423901,,Aug-2021,"Mathematics Education Research Group of Australasia, Inc. (MERGA),"
Research in Globalization,,2590051X,Aug-2021,Elsevier
Journal of Integrated Science and Technology,,23214635,Aug-2021,ScienceIn Publishing
Scientific Horizons,26632144,27098877,Aug-2021,Polissia National University
Archivo Teologico Granadino,02101629,26954397,Aug-2021,Universidad Loyola Andalucía
Adalya,13012746,,Aug-2021,Koc University Suna & Inan Kirac Reserach Center for Mediterranean Civilizations (AKMED)
Sanat Tarihi Yilligi,05794080,27176940,Aug-2021,Istanbul University Press
"Heranca - History, Heritage and Culture Journal",,21843090,Aug-2021,Ponteditora
Studies in the History of Philosophy,20831978,2391775X,Aug-2021,Uniwersytet Miko?aja Kopernika w Toruniu / Nicolaus Copernicus University in Toru?
Journal for Continental Philosophy of Religion,25889605,25889613,Aug-2021,Brill
Sport i Turystyka,25453211,26574322,Aug-2021,The Stanislaw Podobinski Publishing House of the Jan D?ugosz University in Czestochowa
Anales de Historia del Arte,02146452,19882491,Aug-2021,Universidad Complutense de Madrid
Turkiyat Mecmuasi,00857432,26513188,Aug-2021,Istanbul University Press
Studia Litteraria et Historica,,22997571,Aug-2021,"Institute of Slavic Studies, Polish Academy of Sciences"
Osmanli Bilimi Arastirmalari,13033123,24587982,Aug-2021,Istanbul University Press
Journal of African Military History,24680958,24680966,Aug-2021,Brill
Arthroplasty,,25247948,Aug-2021,Springer:  BioMed Central (BMC)
Maternal-Fetal Medicine,20966954,26415895,Aug-2021,Wolters Kluwer:  Lippincott Williams and Wilkins
South African Orthopaedic Journal,1681150X,23098309,Aug-2021,Medpharm Publications
International Journal of Reconfigurable and Embedded Systems,20894864,27222608,Aug-2021,Institute of Advanced Engineering and Science
Zoological Systematics,20956827,,Aug-2021,Editiorial Office of Zoological Systematics
Virtual Reality and Intelligent Hardware,20965796,26661209,Aug-2021,KeAI Publishing Group
Software Impacts,,26659638,Aug-2021,Elsevier
Korean Journal of Financial Studies,20058187,27135543,Aug-2021,Korean Securities Association
Improved Oil and Gas Recovery,,26888246,Aug-2021,"Smart Science & Technology, LLC"
Bali Journal of Anesthesiology,,25492276,Aug-2021,Wolters Kluwer: Medknow Publications
Advances in Planetary Science,25298054,25298062,Aug-2021,World Scientific Publishing
Jahresbericht der Deutschen Mathematiker-Vereinigung,00120456,18697135,Aug-2021,Springer
WikiJournal of Science,,24706345,Aug-2021,WikiJournal User Group
Edutec,,11359250,Aug-2021,GTE-Educational Techology Group. University of Balearic Islans
Palgrave Macmillan Series in Global Public Diplomacy,27313883,27313891,Aug-2021,Springer:  Palgrave Macmillan
China International Strategy Review,,25245635,Aug-2021,Springer
Asia-Pacific Science Education,,23641177,Aug-2021,Brill
Studies in Media and Communication,23258071,2325808X,Aug-2021,Redfame Publishing
Vestnik MGIMO-Universiteta,20718160,25419099,Aug-2021,Moscow State Institute of International Relations
International Journal of Nursing Studies Advances,,2666142X,Aug-2021,Elsevier
Integrative Systematics,26282380,,Aug-2021,Stuttgart State Museum of Natural History
Zeitschrift fur Arabische Linguistik,0170026X,27474437,Aug-2021,Harrassowitz Verlag
Medical Cannabis and Cannabinoids,,25043889,Aug-2021,Karger
Bio-protocol,,23318325,Aug-2021,Bio-protocol LLC
Digital Biomarkers,,2504110X,Aug-2021,Karger
Infection Prevention in Practice,,25900889,Aug-2021,Elsevier
Recent Advances in Ophthalmology,10035141,,Aug-2021,Xinxiang Medical University
Proceedings of the International Symposium on Automation and Robotics in Construction,,24135844,Aug-2021,The International Association for Automation and Robotics in Construction
Revista Politecnica,13900129,24778990,Aug-2021,Escuela Politécnica Nacional
EURO Advanced Tutorials on Operational Research,2364687X,23646888,Aug-2021,Springer
Cardio-Oncology,,20573804,Aug-2021,Springer:  BioMed Central (BMC)
Asia Pacific Journal of Mathematics,,23572205,Aug-2021,Asia Pacific Academic
Revue d'Elevage et de Medecine Veterinaire des Pays Tropicaux,,19516711,Aug-2021,CIRAD
Waiguo Yuyan yu Wenhua,20964366,,Aug-2021,Hunan Normal University Press
Women in the History of Philosophy and Sciences,25238760,25238779,Aug-2021,Springer
Al-Ihkam: Jurnal Hukum dan Pranata Sosial,1907591X,24423084,Aug-2021,"the Faculty of Sharia, Institut Agama Islam Negeri Madura, Pamekasan, East Java, Indonesia in collaboration with The Islamic Law Researcher Associatio"
Cuadernos de Investigacion Historica,02106272,26605880,Aug-2021,Fundación Universitaria Española
Cells,,20734409,Aug-2021,MDPI Multidisciplinary Digital Publishing Institute
Ukrainskyi Zhurnal Sertsevo-sudynnoi Khirurhii,26645963,26645971,Aug-2021,Professional Edition Eastern Europe
IET Energy Systems Integration,,25168401,Aug-2021,Wiley-Blackwell
IEEE Transactions on Medical Robotics and Bionics,,25763202,Aug-2021,IEEE Institute of Electrical and Electronics Engineers
IEEE Open Journal of Antennas and Propagation,,26376431,Aug-2021,IEEE Institute of Electrical and Electronics Engineers
Dotawo,,23732571,Aug-2021,"eScholarship Publishing, California Digital Library"
Journal of Library and Information Science in Agriculture,10021248,,Aug-2021,Ministry of Agriculture and Rural Affairs of the People's Republic of China
Journal of Automotive Safety and Energy,16748484,,Aug-2021,Tsinghua University Press
Smart Agriculture,20968094,,Aug-2021,"Editorial Office of Smart Agriculture, Agricultural Information Institute, Chinese Academy of Agricultural Sciences"
International Journal of Horticultural Science and Technology,23221461,25883143,Aug-2021,University of Tehran
International Journal of Electrical and Electronics Research,,2347470X,Aug-2021,FOREX Publication
Geotechnical Engineering Education,,27327256,Aug-2021,Hellenic Society for Soil Mechanics and Geotechnical Engineering
International Journal of Neutrosophic Science,26926148,26906805,Aug-2021,American Scientific Publishing Group (ASPG)
Current Research in Microbial Sciences,,26665174,Aug-2021,Elsevier
Electronic News,,1931244X,Jul-2021,Sage
Journal of Historical Syntax,,21636001,Jul-2021,Universität Konstanz
Polish Libraries,23009217,23531835,Jul-2021,National Library of Poland
Eurasian Journal of Medicine and Oncology,25872400,2587196X,Jul-2021,Kare publishing
Journal of Clinical and Translational Science,,20598661,Jul-2021,Cambridge University Press
Romanian Journal of Cardiology,1220658X,27346382,Jul-2021,MEDIA MED PUBLICIS
Electrical Engineering and Electromechanics,2074272X,23093404,Jul-2021,National Technical University «Kharkiv Polytechnic Institute»
IEEE Journal of Radio Frequency Identification,,24697281,Jul-2021,IEEE Institute of Electrical and Electronics Engineers
International Journal of Mathematics and Physics,22187987,24095508,Jul-2021,Al-Farabi Kazakh National University
Advanced Photonics,,25775421,Jul-2021,"SPIE, the international society for optics and photonics (a.k.a. Society of Photo-Optical Instrumentation Engineers)"
Waste Disposal and Sustainable Energy,,25247891,Jul-2021,Springer
Progress in Biomedical Engineering,,25161091,Jul-2021,IoP Institute of Physics
IEEE Open Access Journal of Power and Energy,,26877910,Jul-2021,IEEE Institute of Electrical and Electronics Engineers
Journal of Curriculum and Teaching,19272677,19272685,Jul-2021,Sciedu Press
Glottodidactica,00724769,,Jul-2021,Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza w Poznaniu
Slavistica Vilnensis,23516895,24246115,Jul-2021,Vilnius University Press
Journal of Second Language Pronunciation,22151931,2215194X,Jul-2021,John Benjamins Publishing Co.
Asia-Pacific Language Variation,22151354,22151362,Jul-2021,John Benjamins Publishing Co.
Italian Review of Agricultural Economics,00356190,22811559,Jul-2021,Firenze University Press
"Advances in Predictive, Preventive and Personalised Medicine",22113495,22113509,Jul-2021,Springer
Anadolu Arastirmalari,05699746,2667629X,Jul-2021,Istanbul University Press
Poznanskie Studia Slawistyczne,20843011,24502731,Jul-2021,Adam Mickiewicz University in Pozna? / Publishing House of the Pozna? Society for the Advancement of the Arts and Sciences
QRB Discovery,,26332892,Jul-2021,Cambridge University Press
OBM Genetics,,25775790,Jul-2021,LIDSEN Publishing Inc.
European Pharmaceutical Law Review,25117157,25117181,Jul-2021,Lexxion Publsiher
Revista Colombiana de Ciencias Quimico-Farmaceuticas,00347418,19096356,Jul-2021,Universidad Nacional de Colombia
Swiatowit,0082044X,26576031,Jul-2021,University of Warsaw Press
Isogloss,,23854138,Jul-2021,Universitat Autonoma de Barcelona
Revista U.D.C.A Actualidad and Divulgacion Cientifica,01234226,26192551,Jul-2021,Universidad de Ciencias Aplicadas y Ambientales U.D.C.A
Filolog (Banja Luka),19865864,22331158,Jul-2021,Faculty of Philology Banja Luka
Physics Educator,26613395,26613409,Jul-2021,World Scientific Publishing
Figurative Thought and Language,24056944,,Jul-2021,John Benjamins Publishing Co.
Urban Agriculture and Regional Food Systems,,25751220,Jul-2021,Wiley-Blackwell
Europa XXI,14297132,23008547,Jul-2021,Institute of Geography and Spatial Organization Polish Academy of Sciences
International Journal of Anthropology,03939383,18243096,Jul-2021,Angelo Pontecorboli Editore
Plant Phenome Journal,,25782703,Jul-2021,Wiley-Blackwell
Annals of Hepato-Biliary-Pancreatic Surgery,25085778,25085859,Jul-2021,Korean Association of Hepato-Biliary-Pancreatic Surgery
Natural Sciences Education,21688273,21688281,Jul-2021,Wiley-Blackwell
Research Result. Theoretical and Applied Linguistics,,23138912,Jul-2021,Belgorod State National Research University
Italia Contemporanea,03921077,20364555,Jul-2021,Franco Angeli Edizioni
Journal of Religion and Demography,25897411,2589742X,Jul-2021,Brill
Victorian Popular Fictions,,26324253,Jul-2021,Victorian Popular Fiction Association
Aboriginal History Journal,03148769,18379389,Jul-2021,ANU Press
Palgrave Studies in Audio-Visual Culture,26346354,26346362,Jul-2021,Springer:  Palgrave Macmillan
College Music Symposium,,2334203X,Jul-2021,College Music Society
Asian Journal of Dairy and Food Research,09714456,09760563,Jul-2021,Agricultural Research Communication Centre
Lecturae Tropatorum,,19744374,Jul-2021,Università di Napoli Federico II
Libri,,24587826,Jul-2021,Phaselis Project
Pakistan Journal of Nematology,02557576,23131942,Jul-2021,ResearchersLinks Ltd UK
Agri Centuriati,1724904x,18251277,Jul-2021,Fabrizio Serra Editore
Literaturna Misal,03240495,13149237,Jul-2021,Institue for Literatur
Notes Konserwatorski,15095681,26573083,Jul-2021,National Library of Poland
Slavia Antiqua,00809993,25450212,Jul-2021,Poznan Society for the Advancement of Arts and Sciences
ESP Across Cultures,19728247,,Jul-2021,Edipuglia s.r.l.
Archivum,05707218,23411120,Jul-2021,Ediuno: University of Oviedo
Performing Ethos,17571979,17571987,Jul-2021,Intellect Ltd.
Anatolian Journal of Family Medicine,26305593,26513455,Jul-2021,Kare Publishing
Iraqi Journal of Applied Physics,18132065,23091673,Jul-2021,THE IRAQI SOCIETY FOR ALTERNATIVE AND RENEWABLE ENERGY SOURCES & TECHNIQUES
Pharmaceutical Patent Analyst,20468954,20468962,Jul-2021,Future Science Group:  Future Science
SciPost Physics Lecture Notes,,25901990,Jul-2021,SciPost
Fractional Differential Calculus,,18479677,Jul-2021,Publishing House Element
"Agrosystems, Geosciences and Environment",,26396696,Jul-2021,Wiley-Blackwell
Chinese Journal of Parasitology and Parasitic Diseases,10007423,,Jul-2021,"National Institute of Parasitic Diseases, Chinese Center for Disease Control and Prevention"
"Russian Journal of Gastroenterology, Hepatology, Coloproctology",13824376,26586673,Jun-2021,Gastro LLC
Diagnosis,21948011,2194802X,Jun-2021,Walter de Gruyter
Trends in Andrology and Sexual Medicine,23670088,23670096,Jun-2021,Springer
Foot and Ankle Orthopaedics,,24730114,Jun-2021,Sage
Journal of Frailty and Aging,22601341,22734309,Jun-2021,Springer
Arqueologia y Territorio Medieval,11343184,23865423,Jun-2021,Universidad de Jaén
ERJ Open Research,,23120541,Jun-2021,European Respiratory Society
Anales de Filologia Francesa,02132958,19894678,Jun-2021,Universidad de Concepcion
Journal of Entrepreneurial and Organizational Diversity,,22818642,Jun-2021,EURICSE - European Research Institute on Cooperative and Social Enterprises
China Tropical Medicine,10099727,,Jun-2021,Editorial Department of China Tropical Medicine
Medical Journal of Peking Union Medical College Hospital,16749081,,Jun-2021,Editorial office of Medical Journal of Peking Union Medical College Hospital
Clinical Medicine of China,10086315,,Jun-2021,"Chinese Medical Journal Publishing House Co. ,Ltd."
OBM Transplantation,,25775820,Jun-2021,LIDSEN Publishing Inc.
Fronteiras (Brazil),14158701,22389717,Jun-2021,Samira Peruchi Moretto
Boletin de la Academia Peruana de la Lengua,05676002,27082644,Jun-2021,Academia Peruana de la Lengua
Sulla Via del Catai,19703449,,Jun-2021,Centro Studi Martino Martini
Acta Historica Universitatis Klaipedensis,13924095,23516526,Jun-2021,"Institute of Baltic Region History and Archaeology, Klaip?da University"
Novitas-Royal,,13074733,Jun-2021,Children Research Center-TURKEY
Chinese (Taiwan) Yearbook of International Law and Affairs,24681288,26918749,Jun-2021,Brill:  Martinus Nijhoff
Italian Review of Legal History,24648914,,Jun-2021,UNIVERSITY OF MILAN
Sydney Law Review,00820512,14449528,Jun-2021,University of Sydney Law School
Pakistan Armed Forces Medical Journal,00309648,24118842,Jun-2021,AM College
Epidemiologia e Servicos de Saude,16794974,22379622,Jun-2021,Brazilian Ministry of Health
Textile and Leather Review,26236257,26236281,Jun-2021,Seniko studio Ltd.
Hacia la Promocion de la Salud,01217577,24628425,Jun-2021,Universidad de Caldas
Francofonia,1121953X,20365659,Jun-2021,Casa Editrice Leo S. Olschki
Margens,18060560,19825374,Jun-2021,UNIVERSIDADE FEDERAL DO PARÁ
Palgrave Shakespeare Studies,27313204,27313212,Jun-2021,Springer:  Palgrave Macmillan
Mongolian Studies,25001523,27128059,Jun-2021,Kalmyk Scientific Center of the RAS
Proceedings of ECOpole,1898617X,,Jun-2021,Society of Ecological Chemistry and Engineering (SECE)
Industrial Laboratory. Materials Diagnostics,10286861,25880187,Jun-2021,"TEST-ZL Publishing, LLC"
ISECURE,20082045,20083076,Jun-2021,Iranian Society of Cryptology
IET Smart Cities,,26317680,Jun-2021,Wiley-Blackwell
Autism in Adulthood,25739581,2573959X,Jun-2021,Mary Ann Liebert
Journal of Inborn Errors of Metabolism and Screening,23264098,23264594,May-2021,SciELO (Scientific Electronic Library Online)
Journal of Instrumental Analysis,10044957,,May-2021,The Editorial office of Journal of Instrumental Analysis
Zeitschrift fur Unternehmensgeschichte,03422852,23672293,May-2021,Walter de Gruyter
Connexe,24065749,26732750,May-2021,"Université libre de Bruxelles, Université de Genève"
Problemy Polityki Spolecznej,16401808,27197328,May-2021,Faculty of Political Science and International Studies University of Warsaw
Arabian Journal of Medicinal and Aromatic Plants,,24585920,May-2021,IMIST (CNRST)
"Studies in Language, Culture and Society",21957479,,May-2021,Peter Lang
Journal of Korean Academy of Psychiatric and Mental Health Nursing,12258482,22884653,May-2021,Korean Academy of Psychiatric and Mental Health Nursing
Palgrave Studies in Media and Environmental Communication,26346451,2634646X,May-2021,Springer:  Palgrave Macmillan
Data Intelligence,20967004,2641435X,May-2021,MIT Press
International Journal of Cloud Applications and Computing,21561834,21561826,May-2021,IGI Global
Chronobiology in Medicine,,26359162,May-2021,Korean Academy of Sleep Medicine
Eurasian Journal of Family Medicine,21473161,21473404,May-2021,Eurasian Society of Family Medicine
Coal Conversion,10044248,,May-2021,Taiyuan University of Technology
International Conference on Multidisciplinary Research,16943597,16943600,May-2021,Society for Research and Knowledge Management
World Journal of Emergency Medicine,19208642,,May-2021,Zhejiang University Press
Vietnam Journal of Computer Science,,21968896,Apr-2021,World Scientific Publishing
Revista del Cuerpo Medico Hospital Nacional Almanzor Aguinaga Asenjo,22255109,22274731,Apr-2021,Cuerpo Médico del Hospital Nacional Almanzor Aguinaga Asenjo
New Security Challenges,27310329,27310337,Apr-2021,Springer:  Palgrave Macmillan
IEEE Transactions on Radiation and Plasma Medical Sciences,24697311,24697303,Apr-2021,IEEE Institute of Electrical and Electronics Engineers
International Journal of Social Quality,17570344,17570352,Apr-2021,Berghahn
Antichnaya Drevnost' i Srednie Veka,03204472,26870398,Apr-2021,Ural University Press
Central Eurasia Studies,20080867,23453117,Apr-2021,University of Tehran
Palgrave Studies in Life Writing,27309185,27309193,Apr-2021,Springer:  Palgrave Macmillan
Research Results in Biomedicine,,26586533,Apr-2021,Belgorod State National Research University
Vichiana,00425079,2035262X,Apr-2021,Fabrizio Serra Editore
Convivium (Poland),21968403,26576252,Apr-2021,Lodz University Press
"Palgrave Studies in the Enlightenment, Romanticism and Cultures of Print",26346516,26346524,Apr-2021,Springer:  Palgrave Macmillan
Carnets,,16467698,Apr-2021,APEF - Association Portugaise d'études françaises
Technai,20368097,20377967,Apr-2021,Fabrizio Serra Editore
Revista Chilena de Fonoaudiologia,,07194692,Apr-2021,Universidad de Chile
Nordic Journal of Migration Research,,1799649X,Apr-2021,Walter de Gruyter: Sciendo
Symmetry: Culture and Science,08654824,22261877,Apr-2021,SYMMETRION
Rocznik Przekladoznawczy,18964362,23921552,Apr-2021,Wydawnictwo Naukowe Uniwersytetu Miko?aja Kopernika
Russian Peasant Studies,25001809,,Apr-2021,Russian Presidential Academy of National Economy and Public Administration
Estudis de Literatura Oral Popular,,20147996,Apr-2021,Publicacions URV
Advances in Mathematical Sciences and Applications,13434373,,Apr-2021,Gakko Tosho CO. LTD.
Medievalismo,11318155,19898312,Apr-2021,Edit.um (Ediciones de la Universidad de Murcia)
JOR Spine,,25721143,Apr-2021,Wiley-Blackwell
Vestnik Sankt-Peterburgskogo Universiteta. Ekonomika,1026356X,2542226X,Apr-2021,Saint Petersburg State University
Israa University Journal Of Applied Science,,25230522,Apr-2021,ISRAA University
Proceedings of the International Ship Control Systems Symposium,,26318741,Apr-2021,"Institute of Marine Engineering, Science and Technology"
Springer Proceedings in Advanced Robotics,25111256,25111264,Apr-2021,Springer
Medialingvistika,23120274,2312296X,Mar-2021,Saint Petersburg State University
Journal for Foreign Languages,18558453,23504269,Mar-2021,"Ljubljana University Press, Faculty of Arts (Znanstvena zalo?ba Filozofske fakultete Univerze v Ljubljani)"
Indonesian Journal of Obstetrics and Gynecology,23386401,23387335,Mar-2021,Indonesian Society of Obstetrics and Gynecology
Quantitative Science Studies,,26413337,Mar-2021,MIT Press
Vascular and Endovascular Review,25163299,25163302,Mar-2021,Radcliffe Medical Media
"Trajecta. Religion, Culture and Society in the Low Countries",07788304,26659484,Mar-2021,Amsterdam University Press
Philippine Journal of Fisheries,0048377X,26722836,Mar-2021,National Fisheries Research and Development Institute
Il Pensiero Economico Italiano,11228784,17240581,Feb-2021,Fabrizio Serra Editore
Itineraria,15941019,,Feb-2021,SISMEL - Edizioni del Galluzzo
Diferents,25301330,26599252,Feb-2021,Universitat Jaume I
Romanica Wratislaviensia,05572665,,Feb-2021,Wydawnictwo Uniwersytetu Wroc?awskiego
Textile Museum Journal,00837407,24758825,Feb-2021,The Textile Museum
Patristica et Mediaevalia,03252280,26839636,Feb-2021,"Institute of Philosophy Dr. Alejandro Korn, Faculty of Philosophy and Arts, University of Buenos Aires"
Moderna (Ghezzano-La Fontina),11286326,17240530,Feb-2021,Fabrizio Serra Editore
Nineteenth-Century Art Worldwide,,15431002,Feb-2021,Association Historians Nineteenth-Century Art
Quaderni del '900,17200180,17241898,Feb-2021,Fabrizio Serra Editore
World Journal of Experimental Medicine,2220315X,,Feb-2021,Baishideng Publishing Group Inc
Studies in Humanism and Atheism,26346656,26346664,Feb-2021,Springer:  Palgrave Macmillan
Journal of Posthuman Studies,24724513,24714461,Feb-2021,Penn State University Press
Lilloa,00759481,23469641,Feb-2021,Fundación Miguel Lillo
Radical Theologies and Philosophies,2634663X,26346648,Jan-2021,Springer:  Palgrave Macmillan
ZEMCH International Conference,,26522926,Jan-2021,ZEMCH Network
Journal of Neuroanaesthesiology and Critical Care,23480548,2348926X,Jan-2021,Thieme Medical Publishers
Journal of Food Legumes,09706380,09762434,Jan-2021,ISPRD
Neiro-Nechitki Tekhnolohii Modelyuvannya v Ekonomitsi,23063289,24153516,Jan-2021,Kyiv National Economic University named after Vadym Hetman - research university
Critical Ethnic Studies,23735031,2373504X,Jan-2021,University of Minnesota Press
Contemporary City,26345463,26345471,Jan-2021,Springer:  Palgrave Macmillan
Fiziologichnyi Zhurnal,25229028,25229036,Jan-2021,Publishing House ?Akademperiodyka
Journal of Applied Structural Equation Modeling,,25904221,Jan-2021,Sarawak Research Society (SRS)
Palgrave Series in Indian Ocean World Studies,27309703,27309711,Dec-2020,Springer:  Palgrave Macmillan
Palgrave Studies in World Environmental History,27309746,27309754,Dec-2020,Springer:  Palgrave Macmillan
Revista Aguas Subterraneas,01017004,21799784,Dec-2020,Associacao Brasileira de Águas Subterrâneas
China Geology,20965192,25899430,Dec-2020,Elsevier:  Partnership Publishing
Challenges to National Defence in Contemporary Geopolitical Situation,,25388959,Dec-2020,General Jonas Zemaitis Military Academy of Lithuania
Advances in Research on Russian Business and Management,2578725X,25787268,Dec-2020,Information Age Publishing
Studies in World Literature,23653817,,Dec-2020,ibidem Press
Literaturwissenschaftliches Jahrbuch,0075997X,26289849,Dec-2020,Duncker & Humblot GmbH
Lecture Notes in Geosystems Mathematics and Computing,,25123211,Dec-2020,Springer:  Birkhauser
Gestion 2000,07730543,24064734,Dec-2020,Recherches et Publications en Management A.S.B.L.
Journal of Industrial Engineering and Engineering Management,10046062,,Dec-2020,Zhejiang Daxue
Know,2473599X,24736007,Dec-2020,University of Chicago Press
Journal of African American History,15481867,21535086,Dec-2020,University of Chicago Press
RECMA,16261682,22612599,Dec-2020,Association RECMA
Journal of Oncological Sciences,26514532,24523364,Dec-2020,Türkiye Klinikleri
Acta Musei Napocensis,14541513,27344487,Dec-2020,Muzeul National de Istorie a Transilvaniei
South African Museums Association Bulletin,02585049,,Dec-2020,South African Museums Association
Proceedings of the International Conference on Tourism Research,,25163612,Nov-2020,Academic Conferences Ltd
Studi Rinascimentali,17246164,18241948,Nov-2020,Fabrizio Serra Editore
Rivista di Letteratura Storiografica Italiana,25329626,26112787,Nov-2020,Fabrizio Serra Editore
Whatever,,2611657X,Nov-2020,Università di Pisa
New Trends in Civil Aviation,26947854,,Nov-2020,University of ?ilina
Proceedings of the International Conference on Gender Research,,25162810,Nov-2020,Academic Conferences Ltd
Aging Medicine,,24750360,Nov-2020,Wiley-Blackwell
Proceedings of the International Conference Computational Linguistics in Bulgaria,23675578,23675675,Nov-2020,The Institute for Bulgarian Language Prof. Lyubomir Andreychin - Bulgarian Academy of Sciences
